Formatted ID,Name,State,Owner,Project,Flow State,Creation Date,Acceptance Criteria,Notes,Release,Percent Done By Story Plan Estimate,Percent Done By Story Count,UserStories
US10466957,PVR: Add hyperlink on Claim Number for a pop up and hyperlink case ID within QC Error View grid,,Dana Sanchez,Team: Pega Prefects,Accepted,5/7/2026,Clickable link: Claim Number for a pop upGiven the QC Error View grid is visibleWhen the grid renders the Claim Number columnThen each claim number is displayed as a hyperlink instead of plain text and pop up with below info.Clickable link: Case Number open the case in a new tabGiven the QC Error View grid is visibleWhen the grid renders the Case NumberThen each case is displayed as a hyperlink instead of plain text and open that case in a new tab,6/4 Ds business said the claim could be a pop up but would need all the below info-- note then they was the case ID also hyperlink  ,,,,
US10466956,PVR: Ability to Edit PVR post Review in Progress,,Dana Sanchez,Team: Pega Prefects,Accepted,5/7/2026,"Acceptance Criteria:PARP will allow a user to edit a case for which they completed Review In Progress when it is in “Ready for QC” status. A 'Back' button will be available in the Actions dropdown if it past ready for qc then disable the button or hide [result letter review, ready for fafr, or resolved status]When the “Back” button is clicked, the screen to confirm we want to go back will then will hit submit and then case will move back to Review In ProgressWhen you return to the Review In Progress is should keep the existing valuesNew Review In Progress data inputs will override the existing values in all editable Review In Progress fields after pushing save for later or submit back to Ready for QCThis functionality is only available if the original Review In Progress was completed on the same calendar date and the user name must match the auditor name who preformed Review In Progress on that caseThe “Back” button will be hidden on calendar days after the original RIP was completed.The “Back” button will be hidden if the user is not the user who completed the Review In Progress on that caseThere will be no limit on how many times a user can go back as long as the Revise RIP is done on the same calendar dateRevisions made through “Back” will be documented in the Case Audit trail tab for recordkeeping.""""User performed a Revise Review In Progress""""Revisions made through “Back” will be documented in a report- available for managers named """"Revised Review In Progress""""columns:Case IDNCPDPEdit DateUser","ask leaders if there can just be back button with no new statusesagreed to back button but the validation need to be only enable if user name macthes the auditor name and needs to be same calendar day24 hours or calendar day?Calendar dayhow will it be handled to only do your own RIP? could auditors move back some else's RIP?should be disabled if their name does not match the auditor name and needs to be same calendar daydo you want a count or report how many times a case has been revise rip?Yes Case ID, NCPDP, Edit Date, UserNeeraj note: when developing create a new assignment Roles: PVR_ManagerOnshorePVR_ManagerOffshorePVR_House Account Manager OnshorePVR_AuditorOnshorePVR_AuditorOffshorePVR_House Account Auditor OnshorePVR_SuperUserOnshorePVR_SuperUserOffshoreAcceptance Criteria: old PARP will allow a user to edit a case for which they completed RIP when it is in “Ready for QC” status. An Edit button will be available in the Actions dropdown.- if it past ready for qc disable [result letter review, ready for fafr, or resolved status]When the “Revise RIP” button is clicked, the case will move to a new status called “RIP Edit.”A “Revise RIP” pop-up will be displayed, prompting the user to confirm that they want to revise the case.Revised RIP data inputs will override the existing values in all editable RIP fields.This functionality is only available if the original RIP was completed on the same date.The “Revise RIP” button will be disabled (grayed out) or hidden on days after the original RIP was completed.There will be no limit as long as the Revise RIP is done on the same dateRevisions made through “Revise RIP” will be documented in the Case Audit trail tab for recordkeeping.Add New statuses to dashboardAdd New statuses to user efficiency reportSimilar to QC Edit:",,,,
US9908547,PVR CVS Splitting Enhancement (specific fall out scenario of Non-table format),,Dana Sanchez,Team: Pega Prefects,Accepted,2/2/2026,existing logic needs to remain the same for US9386361: PVR: CVS Document Splitting from EMAILS (needs to go in prior to 2026) (S.25) | Rally as it is working as expected. There is only one more format (non-table) that needs to be accounted for that currently is falling out. Expected behavior:Table output continues to attach as-isThe additional non-table format is also attached consistently ,please reach out to SME in JavaScript as we aware this is not PEGA code'- there may be someone that can handle this scenario if we cannot find a solution within the dev team  average fallout rate is between 9%–13%. It took me roughly 30 minutes to complete the attachments as soon as we received the file from CVS. Current behavior:Table output attaches successfullyOne specific non-table format does not attach and falls outExpected behavior:Table output continues to attach as-isThe additional non-table format is also attached consistentlyTable format that works: Fall out that is not attaching:,,,,
US9874725,PVR: Offshore BMT Enhancement to allow CAG Exceptions (26.09),,Dana Sanchez,Team: Pega Prefects,Accepted,1/27/2026,"A. Import & ProcessingImport UIA new left navigation item “CAG Offshore Exception Import” is available. This should only be available for PVR Manager Onshore, PVR Manager Offshore rolesUsers can upload an csv file using the Offshore BMT template structure column namesImport supports Add, Update and Remove operations (explicit in the file or via a selector in the UI).add a description to pop up with a description and Validation on the import buttonSystem validates required columnsSource Envir ID and Carrier are requiredwildcard values will be acceptedAccount and Group are optionalwildcard values will be acceptedif the SE is not in there at the SE level only this a validation error will come in System rejects rows with missing keys, invalid formats, or duplicates (with per-row errors and downloadable error report).If both Add and Remove exist for the same key in a single import, fail the row with a conflict error.if duplicates you will receieve an email that it was not added File-level validation shows progress and outcome summary of results (added/updated/removed/failed counts)only add cvs file - validation error will display Business LogicAdd OperationFor new entries, mark the corresponding BMT record with Is_Exception = YThe nightly job will process and persist the change.Update OperationFor matching records, set Is_Exception = Y and update the record to the new valuesThe nightly job will process these changes as well.Remove Operation--IT discuss further how to technically handle this -TBDFor rows that exist in the BMT and are currently flagged as exceptions:Set Is_Exception = N (in the backend)Remove the entry from the BMTuser should not see the record as N but per discussion for development it needs to be seen as N for the jobs to catch the changeNightly job processes the update.B. BMT Changes & VisibilityIs_Exception BMT ColumnOffshore BMT includes a new column Is_Exceptionvalues [Y or N]Users can filter the BMT by Is_ExceptionCreate/Update by and date BMT ColumnsEach import creates in the BMT UICreated by (auto fill by the system)user who entered the original entryCreated date (auto fill by the system)date of the original entryUpdated by(auto fill by the system)user who updated any field from the original entryUpdated date(auto fill by the system)most recent update datePer-record audit kept (previous value, new value, reason, source import file).saved each import file to see what the excel containedcan we save within PARP ?C. Operational Consistency (PVR case & Nightly job)Restriction Rule for Source EnvironmentsIf an entry exists on the Offshore CAG Restriction BMT for a Source Environment (e.g., A6_IRX, A5_CTR, CCTA_PRD, A5_KSR, A2_AZM), then:Claims associated with that entry should be marked as Offshore Restricted = Yes UNLESSThe Claims match a combination of Carrier + Account + Group + SE from upload to  CAG Offshore Exception Import then Offshore Restricted = NoAll other logic should remain the same for identifying Offshore Restricted claimsThe same rules regarding consolidation group would apply to the offshore restriction. For instance, even if the CAG is an exception but is part of a consolidation (with exception of Corp Group 7), then the case will be offshore restricted.If there are multiple claims in a case, and at least one of those claims is considered Offshore Restricted = yes, then the case should be deemed as offshore restricted.Logic exception should be considered/applied during both PVR case creation as well as during the nightly job run to update Offshore Restriction status for existing PVRs.Tech Notes:validation takes more effort compared to BMT development and it cannot be replicated same like BMT Import(Add, Update and Delete).-Is_Exception column will be part of CAG BMT and it will get updated by daily job from CAG Exception BMT table based on updated by date.New CAG Exception BMT will be read only and import is only option for add, update and delete. ( only if validation is not removed)If Business agree with removal of validation, then a link in left navigation pane for a specific UI (This is 3 points new story)If Business agree with removal of validation, This story will be 5 points only for functional implementationIf business wanted validation to implement, a BMT is needed.","(New) Job to update exceptions on Offshore Restriction BMT - 10 PM EST (to run every hour in UAT for testing)Error email to be received for below error scenarios-- """"CAG Exception Add error. Matching record already exists on Offshore Restriction BMT. Please use Update.  SourceEnvironmentID: XXX , Carrier : XXXXXX , Account : XXXXX , Group : XXXXXXX""""- """"The instance provided is not fully offshore restricted. Check the Offshore Restriction Maintenance BMT SourceEnvironmentID: XXX , Carrier : XXXXXX , Account : XXXXX , Group : XXXXXXX""""""""- """"Error on Save:"""" (for add/update/remove save errors to CAG BMT)(Existing) Nightly job to update Offshore Restriction flag on cases based on InputFlag """"N"""" and IsException NOT """"Y"""" - 11 PM EST  (New) Nightly job to update Offshore Restriction flag on cases based on InputFlag """"N"""" and IsException """"Y"""" - 12 midnight EST(to run every 3 hours in UAT for testing)4/15 DS @Debjani Chandra assigned for sprint 9 related to TA30699918: PARP Offshore Restriction - CAG Exceptions | Rally scrum team suggested this solution  higher hierarchy like an entire instance, we will have the ability to allow certain CAGs in that instance to be NOT offshore restricted through an exception BMT or other process.The same rules regarding consolidation group would apply to the offshore restriction. For instance, even if the CAG is an exception but is part of a consolidation (with exception of Corp Group 7), then the case will be offshore restricted.  5/22 JR: There are requirement changes/inputs from Business and UAT observations which would need development effort, moving to next sprint6/3 JR: Due to testing complexity and PO priorities on closing testing for Pega Upgrade changes, resulted in delays leading to moving the story to next sprint.",,,,
US9386361,PVR: CVS Document Splitting from EMAILS (needs to go in prior to 2026) (S.25),,Dana Sanchez,Team: Pega Prefects,Accepted,10/7/2025,"Document Naming StandardThe document should not include the word """"audit"""" in its name.File name: 'CVS_Case ID#'Splitting LogicSplitting should apply only to CVS documents (CorpGroup7 in the Pharmacy Contact Preference BMT [includes both chains and NCPDPs])Splitting should not rely on pharmacy name; instead, use  (CorpGroup7 (currently from the spike this is based on pharmacy name per Senthil, but can be changed).If CVS changes its template, the system should fall back to the previous logic or trigger an alert for review.Th Audit Id based split PDF, it is not able to extract the Audit ID clearly and getting issues, so we decided to go with splitting of PDF based on Rx Number. Please confirm with business once that for every case will have unique RX number or not. Note: As i said, we have the current logic which will not include duplicate claim because if a claim is already audited in any audits, PVR case will go to Resolved-Cancelled status.And we discussed that as per current functionality, when we get mail response, we are attaching Original-email.eml to the case...As part of our requirement, for CVS Pharmacy and when it is CorpGroup7, we are not attaching this Original-email.eml to the case. In this scenario, no one can see this Original-email.eml. Is that fine for you, because we don't have backup on this file.  Can you please confirm and add this point to story AC for tracking.Validation Before Audit – Clarification Needed:Current criteria: If the letter exists but no actual chart is present, the audit should not proceed. What do you mean by chart? Is that referring to the Attestation page?Question: Is the intent that if a CVS response is split across multiple PVRs and one PVR does not include a letter with a chart (member claim data), then that audit should remain in Waiting Response and not move to Response Received, even if a letter is attached? If the case has a hardcopy attached it should be moved to response received even if it is missing the attestation page. Offshore Exception-Currently offshore if there is a consol group in the Pharmacy Contact Preference BMT it will not allow offshore role to open that caseThere needs to be an exception for specific CVS chain codes (CorpGroup7) to only put yes and block if the CAG is on the off shore restriction BMTAdd an exception for CVS chain codes for offshore flag only if the CAG is not on the restriction BMT: (CorpGroup7 in the Pharmacy Contact Preference BMT [includes both chains and NCPDPs]) "," 12/8 DS sent via teams with a video on how to recreate 12/08 Senthil: @Dana Sanchez , Can you please provide response PDF document for below cases in UAT. Please add three response pages like how is in Prod Also for below 5 cases, Response file case id should not be in sequence. 12/3/2025 MM: Splitting up story to move final acceptance criteria (Offshore Exception) to new story US9644956: [Unfinished-Continued] PVR: CVS Document Splitting from EMAILS (needs to go in prior to 2026) | Rally",,,,
US9416273,PVR: Previous PVR for Same Rx Flag pt 1 UI,,Dana Sanchez,Team: Pega Prefects,Accepted,10/13/2025,"In Scope (UI Only)1. Flag DisplayAdd a new column “Previous Rx Flag”Display a flag icon next to the Rx NumberLocations:PARP claim gridStatuses:Review in ProgressReady for QCReady for QC EditClaim Details tabStatuses:Results Letter ReviewResults Pending ConsolResults Pending FaxResults Corr FailedReady for FAFRResolve FAFR SubmittedVisual requirements:Distinct color (orange or red)Visible only when the backend indicates a valid prior-review conditionNo display for non-flagged claims (no empty icons/placeholders)2. Flag Interaction (Pop Up)On click -pop up:Display a modal containing:Header: “Previous Review”Summary of one or more prior casesCaseID- hyperlink to caseDiscrepancy Code 1--Is it Prelim or Final Finding value?(Senthil QS) use the final - if qc edit was performed us qc editDiscrepancy Code 2--Is it Prelim or Final Finding value?(Senthil QS) use the final - if qc edit was performed us qc editDate of review---What Date it is?(Senthil QS)  date it moved to Ready for FAFR which is the same date result letter was sent, if no result letter was sent then date ready for qc was completeAuditor name--Is it QC Reviewer name?(Senthil QS) REMOVEInternal commentsQC commentspop up must have """"x"""" to exit pop up screenRules:Ready for QC is complete → show Ready for QC results only for a caseIf QC Edit is complete → show QC Edit results only for a caseIf multiple resolved cases exist → show all, sorted by most recent first case3. Acknowledgment UIAt the bottom of the pop up: *note that this is temporary and if you hit save for later the user is expected to go back and ack the check box (approved in demo by leaders)Checkbox:☑ I have reviewed the prior case(s) and understand the previous violation(s).4. Error Message Display (UI only)When backend blocks progression (see Story 2), display error message:“Please review all claims with previous rx flag.”Applicable when attempting to move:Review in Progress → Ready for QCQC Edit submission Tech notes:In case if user did not click on Flags and goes ahead and submit the Review in progress case, should system allow user to continue to Ready for QC? Not allowRxNumber case is resolved and it allowed new audit to initiate with same Rx number, when new case in review in progress or any status, if old case is reopened in this scenario, there are two active cases which are having same rx number. - only ever show resolved details ? scenario for qc edits how to consider them and what if there are more than one resolvedif qc edit is in progress at the same time then show qc results - qc edit results would not show up until passed the status of qc editif the other audit in flight has passed ready for qc then show that in the qc edit status or other passed results in resolvedIs this for New cases only or we need to consider for in flight cases.- inflight and previous resolvedTwo stories 1) for UI implementation- 3 points 2) Logic implementation - 5points  ","Need to review and then create test cases  regression testing from IT? Jeni - is there a scenario where an rx number would belong to two NCPDPs?-- YES BUT this flag would only apply to the same rx from the same NCPDP. If it is just the same rx number but not the same NCPDP, they are not really the same prescription, they just happen to have the same rx number. same rx number from different NCPDPs would just be a coincidence",,,,
US10307526,PVR: Previous PVR for Same Rx Flag pt 2 Logic,,Dana Sanchez,Team: Pega Prefects,Accepted,4/9/2026,"Flag Visibility Rules1. When to Show the FlagShow flag only if:A prior case exists with the same Rx Number + NCPDPPrior case is:Resolved statusOR In‑flight beyond Ready for QCRules for discrepancy codes:Ready for QC is complete → show Ready for QC results only for a caseIf QC Edit is complete → show QC Edit results only for a caseIf multiple resolved cases exist → show all, sorted by most recent first caseIf a resolved case is reopened while a new audit is already in progress:Treat reopened case as activeApply prioritization rules aboveAcknowledgment EnforcementMandatory AcknowledgmentUser must click the flag and acknowledge prior case informationAcknowledgment is required before:Review in Progress → Ready for QCQC Edit submissionAt the bottom of the pop up:Checkbox:☑ I have reviewed the prior case(s) and understand the previous violation(s).If user attempts to proceed without acknowledgment:Block transitionReturn error:“Please review all claims with previous rx flag”Audit Trail RequirementsLog the following:RxnumberUser IDCase IDTimestamp when acknowledgment checkbox is completed In‑Scope Case Types✅ New cases✅ In‑flight cases✅ Previously resolved casesThis applies retroactively, not just net-new audits. Tech notes:In case if user did not click on Flags and goes ahead and submit the Review in progress case, should system allow user to continue to Ready for QC? Not allowRxNumber case is resolved and it allowed new audit to initiate with same Rx number, when new case in review in progress or any status, if old case is reopened in this scenario, there are two active cases which are having same rx number. - only ever show resolved details ? scenario for qc edits how to consider them and what if there are more than one resolvedIs this for New cases only or we need to consider for in flight cases.Two stories 1) for UI implementation- 3 points 2) Logic implementation - 5points  ","Need to review and then create test cases  regression testing from IT? Jeni - is there a scenario where an rx number would belong to two NCPDPs?-- YES BUT this flag would only apply to the same rx from the same NCPDP. If it is just the same rx number but not the same NCPDP, they are not really the same prescription, they just happen to have the same rx number. same rx number from different NCPDPs would just be a coincidence",,,,
US8843543,PVR: Enhancement to Adding Unit of Measure and Package Size and Algo Name to PARP UI Screens,,Dana Sanchez,Team: Pega Prefects,Accepted,6/18/2025,"Acceptance Criteria and Scenarios can mimic US7573942 but instead of the Review in Progress and QC Review, and QC Edit screens, it would be the statuses listed below within the claims details tab.Results Letter ReviewResults Pending ConsolResults Pending FaxResults Corr FailedReady for FAFRResolve FAFR SubmittedProduct Description (e.g. Pen, Bottle, etc.)From PKG_DESCUOM (e.g. ML, Each, etc)From PACKAGE_SIZE_UOM_CDPackage Size (e.g. 0.50, 100, etc)From PKG_SIZEPackage Quantity (e.g. 4, etc)From UNIT_OF_MEASURE_QTYTotal Package Size (e.g. 2.00, 100, etc)From PKG_SIZE_TOTAL_QTY update from US8246071-- in Review in Progress and QC Review, and QC Edit screens, and  Read Only QC views 'Algo Name' needs to match what is seen in """"Rule Flag"""" column dataShould be populated with the corresponding value from the Rule Flag column of Algorithm Descriptions BMTHover over function w/description displaying should be available for each claim ",confirm with a screen shot where in these statuses ,,,,
US9003525,PVR: Pharmacy Notes Tab BMT (BMT Creation) (S26.06),,Dana Sanchez,Team: Pega Prefects,Accepted,7/21/2025,"NEW BMT """"Pharmacy Note Tab"""" Columns:Sequence ID (auto fill by the system)Pharmacy Type*requiredDrop down to select NCPDP, ChainPharmacy ID*requiredField to enter the Chain Code, NCPDPChain 5 digits - if pharmacy type is chaincan be numbers and letters combination- error message will come if over 5 or under 5 valuesNCPDP 7 digits - if pharmacy type is NCPDPonly be numbers - error message will come if over 7 or under 7 valuesPharmacy Name*requiredField to enter Chain name, Pharmacy namePharmacy Note*requiredField to enter the noteStart Date*requiredEnd Date - end date must be greater than start daterequired if Permanent value is Nonot required if Permanent value is YesPermanent *requiredwith a drop down Yes or No Initially it will be populated as 'Yes' and later If end date is selected, it will become as 'No'. This changing of value from 'Yes' to No, will be reflected in UI on manual refresh only because we cant refresh the UI in BMT.If end date is not populated then Permanent value must be Yes to be able to save entryIf end date is populated then Permanent value to No to be able to save entrychange permanent automatically to 'No' once an end date is selectedStatus (Dev Notes: We decide to go with Job which runs every 30 mins to monitor the start and end date and updating status column will be handled in Queue Processor inside job activity)When a new note is added, it will default to “active” status, unless the start date is in the future. If the start date is in the future, then the note will be “inactive” until the start date at which time it will change to “active”When a note reaches it’s end date the note will automatically switch to “inactive”If there is no specific start or end date, user can enter radio button of """"Permanent"""" (this is in the UI in the BMT it will be a drop down yes or no) and the note will become active immediatelyInactive NoteField to enter the inactive note-- this is not required when adding directly into the BMT -- this is only required in later story when user hits a check box to inactivate a note they need to enter a reason and that reason will be stored in the column in the bmtWhen a user wants to inactivate a note, they will click the check box next to the note they want to inactivate and click the Inactivate Note button.To inactivate a note, the user will be required to enter a reason and the reason will be visible in the note for all cases for that pharmacy/chainEnd date would be updated to current date to inactivate the noteAfter the reason for inactivation is entered and saved, the system will capture the user’s msid, date and time of inactivation (Dev Notes: Do we need to capture all previous inactivate reason or only the latest one? This reason column should be available in BMT also?)--user should never be able to edit an inactive line- only active ones can be edited""""Created by (auto fill by the system)user who entered the original entryCreated date (auto fill by the system)date of the original entryUpdated by(auto fill by the system)user who updated any field from the original entryUpdated date(auto fill by the system)most recent update date Filtering:We need reporting to be able to search notes for specific date ranges, NCPDPs, ChainWe need to be able to select Active, Inactive, or allWhen displaying Inactive notes, we need to see the note that was inactivated, the user that inactivated it, the reason it was inactivated, and the date and time it was inactivated.For Active reporting, we want to see all of the active notes for a given NCPDP, ChainDoes not need to be apart of BMT lockBMT should only be accessible by those with a Manager role in the PVR flowBMT should be defaulted to sort by Sequence ID (smallest to largest)All functions similar to other BMTs :Search box should be available as free text field and return any records from BMT with matching criteriaUser can manually add new records to the BMT by clicking on '+ Add Record' buttonUser can manually update and delete existing records in the BMTUpdates can be done by clicking into/on any of the fields for the record and either selecting a new option via dropdown or updating free textDeletions should be done via delete button / trashcan iconUser can perform batch addition of new records to the BMTLeverage the standard Import functionality that prompts users to select a file for uploadUser will have the option in dropdown to 'Add Only' records or 'Add/Update' recordsValidations listed above should be checked when importing recordsUser can perform batch updates and deletions of existing records in the BMTLeverage the standard Import functionality that prompts users to select a file for uploadUser will have option in dropdown to 'Add/Update' or 'Delete'Validations listed above in #7 should be checked when importing records for Add/UpdateWhen user selects 'Delete' the records should only be deleted when Sequence ID in file matches Sequence ID in BMTUser can filter and sort all columns in the BMTUser can export the entire BMT into an csv fileAll records currently displayed in BMT view should be included in exportAll columns from BMT should be included in BMTSystem will display an alert and require a user to acknowledge all manual and batch deletions of existing records in the BMTIf user does not approve the manual deletion by clicking 'OK', deletion does not occur.If user does approve the manual deletion by clicking 'OK' deletion will occur.When completing deletions via batch process, pop-ups should follow standard process to ensure user is aware of deletion ","3/24 DS accepted but do not tag until function stories are complete https://uhgazure.sharepoint.com/teams/PARPA-Team/Lists/Request%20Form/DispForm.aspx?ID=7097&pa=1&e=seVsaE--7097 I want to submit an enhancement user story for PVR to enable the ability to enter a pharmacy specific note that will be displayed in the UI for any and all cases for that pharmacy or chain Dev Design Notes by Senthil:Bases on Start and End Date in BMT, to update the status column Active or Inactive, will run a job every 30 mins.Inside Job activity, Browse each records from the BMT and check we need to update the status column or not. If we need to update, then queue the particular records and update will happen in Queue processor activity.Put a log entry for Start and End time for this whole job activity completion.",,,,
US9003552,PVR: Pharmacy Notes Tab BMT (BMT Functionality) part 2- Pop Up,,Dana Sanchez,Team: Pega Prefects,Accepted,7/21/2025,"When an active note exists for a pharmacy, the user working the case will receive a pop-up message that they will need to acknowledge by clicking OK (Dev Notes--It has to be taken as separate 5 pointer story as technical challenge and testing would be more)- splitThe pop-up message will say “An active pharmacy note exists. Please check the Pharmacy Note tab before proceeding.”suggestions is a banner in all statuses any time there are notes in the pharm notes tab [if no note then no banner is needed]...however the error message will come up if they didn't view/acknowledge the pharm notes tab and they do try to hit save /submit button not allowing them to move forward to the next status forReview In ProgressReady for QCReady for QC EditNo responseResponse receivedCorr failed (init, reminder, results, cancel)letter gen failed (init, reminder, results, cancel)waiting response (init, reminder, final)If the user gets to the end of the review and hits save or submit, if they have not accessed the Pharmacy Note tab, an error banner will appear telling them they cannot save or submit until they read the pharmacy note.Review In Progress-  save or submit buttonReady for QC-  save or submit buttonReady for QC Edit-  save or submit buttonNo responseno response - submit buttonresponse received - attach buttonResponse received- start review buttonResult pharm contact -   generate letter buttonCorr failed (init, reminder, results, cancel)-   generate letter buttonletter gen failed (init, reminder, results, cancel) -   generate letter buttonwaiting response (init, reminder, final)- attach buttonPharmacy Note tab will have an “!” next to the words Pharmacy Note if there are active notesThe error banner will display “An active pharmacy note exists. Please check the Pharmacy Note tab before saving or submitting.”User will have to click the check box within the tab in order to move forward - this check box needs to be refreshed once it moves to the next status",4/15 DS @Naga Senthil assigned for sprint 9https://uhgazure.sharepoint.com/teams/PARPA-Team/Lists/Request%20Form/DispForm.aspx?ID=7097&pa=1&e=seVsaE--7097 I want to submit an enhancement user story for PVR to enable the ability to enter a pharmacy specific note that will be displayed in the UI for any and all cases for that pharmacy or chain,,,,
